Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
278,Halo Fantasy 475,XOne,2015,Sports,Bandai Namco Entertainment,0.77,0.22,0.31,0.08,1.38
279,Halo Quest 291,NES,2012,Fighting,Bandai Namco Entertainment,0.95,0.03,0.39,0.0,1.37
280,World of Fantasy 61,PS,2013,Platform,Sega,1.04,0.2,0.04,0.09,1.37
281,Halo Kart 334,X360,2015,Action,Capcom,0.54,0.33,0.17,0.33,1.37
282,Call of Legacy 185,NES,2013,Fighting,Capcom,0.95,0.13,0.1,0.18,1.36
283,Mario Warfare 310,DS,2016,Fighting,Sony Computer Entertainment,0.03,0.28,0.57,0.47,1.35
284,World of Quest 71,PS2,2016,Fighting,Capcom,0.36,0.46,0.42,0.11,1.35
285,Grand Adventure 47,DS,1996,Role-Playing,Electronic Arts,0.87,0.42,0.01,0.04,1.34
286,Halo Fantasy 469,PS2,1986,Fighting,Sony Computer Entertainment,0.15,0.8,0.17,0.22,1.34
287,World of Legacy 110,Wii,1983,Sports,Take-Two Interactive,0.1,0.16,1.07,0.0,1.33
288,Grand Duty 265,DS,2014,Platform,Bandai Namco Entertainment,0.29,0.47,0.47,0.1,1.33
289,Mario Legacy 446,PS4,2003,Sports,Bandai Namco Entertainment,0.22,0.65,0.39,0.07,1.33
290,World of Adventure 259,PS4,1993,Racing,Activision,0.8,0.51,0.01,0.0,1.32
291,The Legend of Fantasy 192,PS3,1985,Shooter,Sega,0.69,0.55,0.05,0.02,1.31
292,Super Legacy 462,DS,2016,Sports,Electronic Arts,0.31,0.31,0.26,0.42,1.3
293,Final Duty 457,X360,2003,Sports,Capcom,0.14,0.58,0.52,0.06,1.3
294,World of Adventure 191,3DS,1985,Role-Playing,Capcom,0.72,0.2,0.32,0.06,1.3
295,Call of Quest 366,3DS,1980,Misc,Take-Two Interactive,0.07,0.37,0.07,0.79,1.3
296,Final Kart 347,3DS,2005,Platform,Nintendo,0.95,0.31,0.03,0.01,1.3
297,World of Fantasy 246,3DS,1999,Fighting,Bandai Namco Entertainment,0.27,0.85,0.12,0.06,1.3
298,Final Quest 16,3DS,2009,Action,Sony Computer Entertainment,0.69,0.56,0.02,0.03,1.3
299,World of Adventure 57,PS4,2007,Platform,Capcom,0.33,0.85,0.06,0.05,1.29
300,Super Warfare 128,PS,1991,Shooter,Electronic Arts,0.6,0.46,0.2,0.02,1.28
301,Call of Duty 172,DS,2004,Shooter,Take-Two Interactive,0.16,0.43,0.47,0.22,1.28
302,Super Adventure 336,NES,2005,Sports,Bandai Namco Entertainment,0.7,0.4,0.17,0.01,1.28
303,The Legend of Kart 448,PS,1987,Shooter,Ubisoft,0.16,0.12,0.56,0.44,1.28
304,Grand Legacy 480,Wii,1984,Role-Playing,Sony Computer Entertainment,1.07,0.02,0.11,0.08,1.28
305,Final Quest 132,3DS,2005,Fighting,Nintendo,0.35,0.12,0.33,0.47,1.27
306,Call of Duty 414,XOne,2011,Action,Capcom,0.91,0.21,0.14,0.01,1.27
307,Super Combat 309,PS3,2012,Misc,Bandai Namco Entertainment,0.19,0.37,0.7,0.01,1.27
308,Final Duty 78,DS,1997,Fighting,Bandai Namco Entertainment,0.62,0.33,0.09,0.22,1.26
309,Call of Adventure 152,3DS,1981,Sports,Nintendo,0.45,0.05,0.61,0.15,1.26
310,Mario Fantasy 68,DS,1996,Fighting,Sega,0.95,0.23,0.05,0.03,1.26
311,Halo Fantasy 344,NES,2002,Role-Playing,Bandai Namco Entertainment,0.52,0.32,0.36,0.04,1.24
312,World of Adventure 210,3DS,1990,Racing,Sega,0.2,0.79,0.22,0.03,1.24
313,Super Kart 214,PC,2009,Racing,Take-Two Interactive,0.55,0.08,0.39,0.21,1.23
314,The Legend of Fantasy 369,PS4,2005,Racing,Nintendo,0.67,0.36,0.07,0.13,1.23
315,Grand Combat 284,DS,1997,Shooter,Sony Computer Entertainment,0.47,0.12,0.59,0.05,1.23
316,Halo Adventure 119,PS3,2000,Role-Playing,Ubisoft,0.31,0.42,0.22,0.28,1.23
317,Final Fantasy 353,PC,2015,Platform,Nintendo,0.22,0.58,0.41,0.01,1.22
318,Super Duty 147,PS2,2005,Action,Bandai Namco Entertainment,0.28,0.44,0.42,0.08,1.22
319,Mario Kart 40,PS2,1982,Platform,Sony Computer Entertainment,0.39,0.54,0.15,0.13,1.21
320,Halo Fantasy 105,PS4,2010,Role-Playing,Activision,0.31,0.81,0.09,0.0,1.21
321,Grand Warfare 361,XB,2008,Role-Playing,Take-Two Interactive,0.32,0.54,0.05,0.29,1.2
322,Final Duty 270,PS2,1990,Fighting,Sony Computer Entertainment,0.78,0.08,0.25,0.09,1.2
323,The Legend of Duty 488,DS,1984,Role-Playing,Nintendo,0.09,1.05,0.05,0.0,1.19
324,World of Fantasy 443,NES,1987,Racing,Sony Computer Entertainment,1.01,0.02,0.04,0.11,1.18
325,World of Kart 413,NES,1998,Role-Playing,Sega,0.18,0.07,0.18,0.75,1.18
326,Super Kart 499,XB,2002,Shooter,Bandai Namco Entertainment,0.03,0.48,0.42,0.25,1.18
327,The Legend of Combat 339,PC,1999,Misc,Take-Two Interactive,0.3,0.05,0.67,0.15,1.17
328,Super Quest 166,Wii,2001,Misc,Capcom,0.21,0.63,0.14,0.19,1.17
329,Halo Adventure 227,PS,1999,Sports,Sony Computer Entertainment,0.99,0.02,0.12,0.04,1.17
330,Call of Quest 159,XOne,2014,Sports,Nintendo,0.43,0.45,0.19,0.1,1.17
331,Halo Kart 54,NES,1980,Role-Playing,Capcom,0.04,0.72,0.17,0.23,1.16
332,The Legend of Adventure 205,XOne,2010,Sports,Sega,0.37,0.05,0.64,0.1,1.16
333,Super Duty 287,PC,2011,Role-Playing,Nintendo,0.44,0.08,0.42,0.22,1.16
334,The Legend of Combat 491,PS,1988,Fighting,Electronic Arts,0.61,0.3,0.21,0.04,1.16
335,Mario Duty 345,PS2,2005,Fighting,Take-Two Interactive,0.73,0.24,0.08,0.1,1.15
336,Call of Kart 27,NES,2006,Platform,Sega,0.73,0.34,0.03,0.05,1.15
337,Super Combat 389,DS,1996,Role-Playing,Sony Computer Entertainment,0.63,0.15,0.2,0.16,1.14
338,The Legend of Combat 460,PS,1995,Role-Playing,Capcom,0.24,0.72,0.17,0.01,1.14
339,World of Fantasy 376,PC,1988,Platform,Take-Two Interactive,0.98,0.01,0.12,0.03,1.14
340,Call of Duty 453,XB,1987,Platform,Take-Two Interactive,0.47,0.45,0.11,0.1,1.13
341,Super Combat 145,3DS,2001,Shooter,Ubisoft,0.35,0.49,0.05,0.24,1.13
342,Call of Combat 120,PS2,1984,Shooter,Sony Computer Entertainment,0.79,0.15,0.04,0.14,1.12
343,Super Duty 37,PS,1984,Fighting,Sony Computer Entertainment,0.07,0.25,0.04,0.76,1.12
344,Final Combat 301,PS,1987,Fighting,Ubisoft,0.44,0.59,0.0,0.08,1.11
345,Mario Adventure 288,PS,2012,Action,Sony Computer Entertainment,0.48,0.03,0.49,0.11,1.11
346,Final Duty 306,Wii,2006,Role-Playing,Activision,0.42,0.48,0.11,0.1,1.11
347,Super Warfare 400,PS,2000,Role-Playing,Take-Two Interactive,0.2,0.75,0.11,0.04,1.1
348,Final Legacy 473,3DS,1998,Fighting,Sega,0.45,0.48,0.05,0.12,1.1
349,Super Adventure 59,XB,1987,Role-Playing,Capcom,0.09,0.39,0.18,0.43,1.09
350,Grand Duty 340,PC,1990,Fighting,Sega,0.49,0.33,0.18,0.09,1.09
351,Super Warfare 146,PS,1993,Sports,Nintendo,0.27,0.3,0.12,0.4,1.09
352,The Legend of Adventure 302,NES,1994,Platform,Activision,0.81,0.03,0.19,0.05,1.08
353,Final Legacy 461,3DS,1983,Fighting,Nintendo,0.86,0.09,0.12,0.01,1.08
354,Call of Combat 238,DS,1985,Platform,Electronic Arts,0.11,0.36,0.29,0.32,1.08
355,The Legend of Fantasy 109,PS2,1983,Role-Playing,Take-Two Interactive,0.21,0.63,0.19,0.05,1.08
356,Grand Fantasy 231,PS4,1993,Platform,Sony Computer Entertainment,0.77,0.05,0.03,0.22,1.07
357,Call of Kart 87,NES,1996,Shooter,Sony Computer Entertainment,0.2,0.84,0.01,0.01,1.06
358,Halo Fantasy 11,PS,1997,Misc,Activision,0.15,0.08,0.34,0.49,1.06
359,Mario Adventure 123,PS3,2001,Action,Ubisoft,0.21,0.82,0.02,0.01,1.06
360,Grand Fantasy 153,PS2,2005,Platform,Capcom,0.39,0.01,0.08,0.58,1.06
361,Super Combat 177,DS,2015,Shooter,Nintendo,0.05,0.11,0.74,0.15,1.05
362,The Legend of Combat 72,PS,2000,Fighting,Nintendo,0.08,0.55,0.32,0.1,1.05
363,Mario Kart 342,X360,1985,Shooter,Nintendo,0.06,0.2,0.3,0.48,1.04
364,Mario Legacy 183,DS,1985,Racing,Sega,0.4,0.04,0.58,0.01,1.03
365,Mario Combat 326,XOne,1987,Platform,Capcom,0.77,0.07,0.04,0.15,1.03
366,Halo Adventure 337,XOne,2006,Fighting,Nintendo,0.25,0.3,0.45,0.02,1.02
367,Halo Combat 204,3DS,2003,Shooter,Activision,0.42,0.38,0.05,0.17,1.02
368,Super Kart 418,DS,2009,Action,Bandai Namco Entertainment,0.5,0.28,0.02,0.21,1.01
369,Halo Warfare 212,X360,1994,Action,Capcom,0.06,0.13,0.66,0.16,1.01
370,Final Warfare 169,NES,1996,Fighting,Bandai Namco Entertainment,0.75,0.07,0.07,0.12,1.01
371,Grand Kart 497,PS2,1989,Sports,Ubisoft,0.3,0.59,0.05,0.06,1.0
372,Mario Adventure 85,PS3,1994,Platform,Capcom,0.23,0.47,0.02,0.28,1.0
373,The Legend of Kart 39,Wii,1984,Action,Take-Two Interactive,0.23,0.06,0.55,0.15,0.99
374,Grand Quest 393,XOne,1985,Shooter,Sega,0.6,0.18,0.1,0.1,0.98
375,Super Legacy 422,XOne,1980,Racing,Electronic Arts,0.44,0.14,0.33,0.07,0.98
376,Halo Kart 116,XOne,2008,Fighting,Activision,0.3,0.37,0.09,0.22,0.98
377,Call of Warfare 364,PS2,1990,Fighting,Sega,0.35,0.48,0.12,0.03,0.98
378,Final Fantasy 423,PS,1993,Racing,Ubisoft,0.34,0.06,0.34,0.23,0.97
379,Final Adventure 289,3DS,2002,Racing,Take-Two Interactive,0.14,0.76,0.01,0.06,0.97
380,Super Quest 195,NES,1990,Sports,Electronic Arts,0.25,0.41,0.03,0.28,0.97
381,Call of Kart 171,Wii,1999,Sports,Bandai Namco Entertainment,0.21,0.64,0.1,0.02,0.97
382,The Legend of Kart 170,NES,1992,Shooter,Sony Computer Entertainment,0.58,0.05,0.22,0.11,0.96
383,Call of Kart 417,PS4,2008,Sports,Capcom,0.24,0.23,0.42,0.07,0.96
384,Super Warfare 409,XB,2011,Action,Sega,0.21,0.44,0.28,0.02,0.95
385,Super Combat 367,DS,2016,Fighting,Ubisoft,0.4,0.08,0.28,0.19,0.95
386,Call of Quest 208,X360,1999,Misc,Activision,0.55,0.21,0.0,0.18,0.94
387,Halo Fantasy 18,NES,2012,Racing,Take-Two Interactive,0.65,0.05,0.12,0.12,0.94
388,Grand Warfare 438,PC,2002,Misc,Sony Computer Entertainment,0.19,0.53,0.16,0.05,0.93
389,The Legend of Duty 162,PS3,2016,Shooter,Sony Computer Entertainment,0.5,0.07,0.21,0.15,0.93
390,The Legend of Kart 23,NES,2000,Platform,Activision,0.12,0.59,0.17,0.05,0.93
391,Grand Adventure 346,Wii,1991,Platform,Ubisoft,0.28,0.25,0.22,0.17,0.92
392,World of Legacy 269,DS,1987,Shooter,Electronic Arts,0.34,0.25,0.33,0.0,0.92
393,Grand Warfare 379,PS3,2014,Sports,Sony Computer Entertainment,0.04,0.22,0.22,0.43,0.91
394,Halo Legacy 482,3DS,1990,Fighting,Activision,0.51,0.11,0.28,0.01,0.91
395,Call of Duty 264,NES,2014,Misc,Activision,0.06,0.33,0.44,0.08,0.91
396,Halo Duty 470,NES,2012,Shooter,Capcom,0.59,0.11,0.05,0.16,0.91
397,The Legend of Quest 34,NES,1985,Racing,Capcom,0.04,0.56,0.16,0.15,0.91
398,The Legend of Quest 479,PC,1980,Racing,Activision,0.03,0.72,0.16,0.0,0.91
399,Call of Legacy 164,Wii,1989,Fighting,Sony Computer Entertainment,0.15,0.26,0.32,0.17,0.9
400,Halo Kart 403,PC,1999,Platform,Sega,0.16,0.02,0.52,0.2,0.9
401,Super Combat 278,NES,1998,Misc,Electronic Arts,0.02,0.28,0.04,0.56,0.9
402,Final Combat 236,PS,1982,Shooter,Sega,0.02,0.3,0.41,0.16,0.89
403,Super Kart 357,PS4,1987,Role-Playing,Nintendo,0.77,0.02,0.09,0.01,0.89
404,Final Legacy 299,XOne,1982,Misc,Sony Computer Entertainment,0.45,0.18,0.03,0.23,0.89
405,Mario Warfare 303,XB,2008,Shooter,Take-Two Interactive,0.41,0.36,0.11,0.01,0.89
406,Super Quest 69,PS4,2002,Fighting,Nintendo,0.25,0.13,0.28,0.22,0.88
407,Super Warfare 77,Wii,2013,Action,Electronic Arts,0.16,0.37,0.09,0.26,0.88
408,Grand Warfare 143,X360,2014,Misc,Sega,0.22,0.55,0.07,0.04,0.88
409,The Legend of Combat 134,3DS,1988,Sports,Sony Computer Entertainment,0.41,0.26,0.16,0.05,0.88
410,Grand Kart 148,NES,2007,Role-Playing,Capcom,0.21,0.09,0.22,0.35,0.87
411,Final Duty 209,PS4,2007,Shooter,Electronic Arts,0.07,0.55,0.25,0.0,0.87
412,Super Quest 124,PS2,2000,Action,Sony Computer Entertainment,0.02,0.4,0.37,0.08,0.87
413,Super Kart 276,3DS,2016,Fighting,Take-Two Interactive,0.11,0.4,0.14,0.22,0.87
414,Call of Duty 373,X360,1994,Platform,Ubisoft,0.15,0.63,0.07,0.01,0.86
415,Super Kart 387,XB,2013,Action,Activision,0.07,0.54,0.21,0.04,0.86
416,Mario Quest 70,PS4,1994,Shooter,Capcom,0.71,0.04,0.04,0.07,0.86
417,Halo Fantasy 50,PS,1988,Misc,Take-Two Interactive,0.19,0.26,0.22,0.19,0.86
418,Mario Adventure 455,PC,2014,Racing,Sony Computer Entertainment,0.36,0.18,0.18,0.13,0.85
419,The Legend of Legacy 233,PC,1990,Sports,Activision,0.14,0.4,0.05,0.26,0.85
420,Mario Legacy 285,PS3,1987,Shooter,Take-Two Interactive,0.26,0.48,0.1,0.0,0.84
421,The Legend of Kart 494,PS3,2001,Action,Activision,0.1,0.45,0.01,0.28,0.84
422,The Legend of Duty 330,PS3,1991,Misc,Capcom,0.11,0.14,0.53,0.06,0.84
423,Halo Legacy 149,PS3,2002,Platform,Electronic Arts,0.03,0.67,0.07,0.06,0.83
424,Grand Combat 12,3DS,1984,Shooter,Electronic Arts,0.25,0.02,0.49,0.07,0.83
425,Grand Combat 495,X360,2003,Role-Playing,Electronic Arts,0.48,0.25,0.01,0.08,0.82
426,Call of Warfare 7,XB,2008,Platform,Ubisoft,0.12,0.3,0.26,0.14,0.82
427,Halo Warfare 308,PS2,2008,Misc,Electronic Arts,0.21,0.49,0.01,0.1,0.81
428,Super Fantasy 93,PS,1989,Fighting,Take-Two Interactive,0.16,0.52,0.13,0.0,0.81
429,Mario Duty 271,3DS,2016,Racing,Capcom,0.04,0.23,0.04,0.5,0.81
430,Call of Warfare 111,X360,2004,Sports,Sega,0.06,0.27,0.28,0.2,0.81
431,Final Adventure 314,XOne,2001,Role-Playing,Ubisoft,0.51,0.11,0.06,0.12,0.8
432,World of Adventure 490,DS,2009,Misc,Bandai Namco Entertainment,0.05,0.23,0.01,0.51,0.8
433,Mario Quest 102,3DS,1990,Racing,Take-Two Interactive,0.51,0.15,0.09,0.05,0.8
434,Super Kart 188,PS,2012,Action,Ubisoft,0.2,0.53,0.07,0.0,0.8
435,Halo Legacy 293,PS2,1996,Fighting,Sega,0.07,0.03,0.53,0.16,0.79
436,Final Adventure 434,XB,1989,Action,Electronic Arts,0.44,0.31,0.02,0.01,0.78
437,Super Duty 140,NES,2015,Fighting,Electronic Arts,0.43,0.16,0.18,0.01,0.78
438,The Legend of Kart 65,PS,1984,Fighting,Bandai Namco Entertainment,0.23,0.25,0.17,0.13,0.78
439,Call of Combat 206,XOne,1985,Role-Playing,Nintendo,0.24,0.3,0.17,0.07,0.78
440,The Legend of Fantasy 498,PS,2009,Platform,Take-Two Interactive,0.57,0.0,0.01,0.19,0.77
441,World of Kart 360,3DS,1988,Platform,Sega,0.01,0.51,0.01,0.24,0.77
442,Super Warfare 487,PS3,1999,Fighting,Capcom,0.18,0.18,0.35,0.04,0.75
443,Call of Warfare 74,3DS,1981,Racing,Sega,0.12,0.31,0.02,0.3,0.75
444,Call of Warfare 406,DS,2007,Role-Playing,Activision,0.55,0.17,0.02,0.0,0.74
445,Super Duty 182,PS2,2016,Role-Playing,Nintendo,0.15,0.37,0.11,0.11,0.74
446,Final Quest 324,X360,1994,Sports,Sega,0.03,0.15,0.53,0.02,0.73
447,World of Legacy 395,PS4,2012,Misc,Capcom,0.07,0.49,0.16,0.0,0.72
448,Final Kart 365,X360,2002,Role-Playing,Activision,0.03,0.03,0.2,0.45,0.71
449,Final Kart 477,PS3,1997,Fighting,Bandai Namco Entertainment,0.15,0.4,0.12,0.02,0.69
450,The Legend of Quest 189,PC,2001,Fighting,Ubisoft,0.2,0.38,0.06,0.04,0.68
451,Halo Quest 44,X360,1989,Action,Sega,0.28,0.26,0.13,0.01,0.68
452,The Legend of Adventure 35,PS3,2007,Sports,Nintendo,0.15,0.12,0.3,0.1,0.67
453,Call of Combat 158,X360,1997,Misc,Capcom,0.07,0.25,0.02,0.33,0.67
454,Call of Legacy 173,DS,1983,Platform,Nintendo,0.2,0.16,0.26,0.05,0.67
455,World of Warfare 254,PS,2003,Fighting,Take-Two Interactive,0.09,0.26,0.31,0.01,0.67
456,Grand Duty 113,NES,2011,Shooter,Sega,0.33,0.1,0.04,0.2,0.67
457,Final Combat 42,XOne,2016,Racing,Take-Two Interactive,0.35,0.02,0.27,0.03,0.67
458,World of Adventure 280,PS4,2005,Misc,Ubisoft,0.31,0.35,0.01,0.0,0.67
459,World of Combat 355,DS,1984,Misc,Nintendo,0.12,0.15,0.3,0.09,0.66
460,The Legend of Kart 298,XB,1985,Platform,Capcom,0.13,0.06,0.23,0.23,0.65
461,Super Combat 352,3DS,1991,Sports,Nintendo,0.09,0.19,0.28,0.09,0.65
462,Grand Duty 424,PS,1981,Shooter,Ubisoft,0.37,0.11,0.13,0.04,0.65
463,Super Legacy 398,PS4,2005,Fighting,Activision,0.14,0.06,0.38,0.04,0.62
464,Mario Duty 426,NES,2009,Action,Electronic Arts,0.03,0.52,0.0,0.07,0.62
465,Final Kart 464,DS,1993,Role-Playing,Bandai Namco Entertainment,0.11,0.14,0.28,0.08,0.61
466,Call of Kart 174,PS,1989,Platform,Activision,0.17,0.04,0.3,0.1,0.61
467,Super Fantasy 245,XB,1981,Racing,Take-Two Interactive,0.01,0.06,0.34,0.2,0.61
468,The Legend of Quest 385,X360,1997,Sports,Activision,0.33,0.1,0.04,0.1,0.57
469,World of Warfare 500,XOne,2011,Action,Sony Computer Entertainment,0.13,0.22,0.18,0.03,0.56
470,Halo Quest 126,Wii,1980,Misc,Take-Two Interactive,0.02,0.5,0.03,0.01,0.56
471,World of Quest 468,PS4,1989,Platform,Ubisoft,0.06,0.26,0.05,0.18,0.55
472,Call of Combat 3,PS4,2012,Shooter,Sega,0.25,0.0,0.27,0.02,0.54
473,World of Kart 15,DS,1989,Platform,Electronic Arts,0.1,0.11,0.21,0.12,0.54
474,World of Legacy 261,PS,1988,Platform,Ubisoft,0.09,0.07,0.32,0.06,0.54
475,Super Kart 316,PS2,1989,Role-Playing,Capcom,0.16,0.27,0.08,0.01,0.52
476,Halo Combat 396,PS3,2008,Racing,Electronic Arts,0.05,0.24,0.16,0.07,0.52
477,Super Combat 221,X360,1985,Racing,Ubisoft,0.25,0.05,0.19,0.01,0.5
478,Mario Warfare 329,Wii,1983,Racing,Bandai Namco Entertainment,0.1,0.01,0.33,0.05,0.49
479,World of Kart 203,DS,2015,Shooter,Activision,0.07,0.11,0.3,0.01,0.49
480,Super Quest 467,PS3,1986,Fighting,Activision,0.22,0.05,0.14,0.06,0.47
481,Final Legacy 107,PC,1995,Racing,Take-Two Interactive,0.03,0.19,0.07,0.17,0.46
482,Mario Duty 51,PS2,1980,Racing,Sega,0.03,0.2,0.11,0.11,0.45
483,Super Fantasy 115,Wii,2006,Role-Playing,Take-Two Interactive,0.05,0.1,0.08,0.21,0.44
484,Super Combat 296,XOne,1993,Sports,Take-Two Interactive,0.26,0.14,0.04,0.0,0.44
485,The Legend of Quest 445,XOne,1982,Role-Playing,Nintendo,0.16,0.07,0.13,0.05,0.41
486,Final Legacy 335,3DS,2015,Fighting,Sony Computer Entertainment,0.05,0.06,0.11,0.18,0.4
487,World of Fantasy 341,PS,1989,Role-Playing,Ubisoft,0.01,0.08,0.28,0.02,0.39
488,World of Adventure 279,PC,1993,Platform,Activision,0.02,0.19,0.16,0.02,0.39
489,Call of Warfare 478,X360,1981,Racing,Bandai Namco Entertainment,0.15,0.0,0.02,0.22,0.39
490,Final Combat 474,XOne,1998,Sports,Bandai Namco Entertainment,0.23,0.1,0.01,0.05,0.39
491,Grand Combat 22,X360,1990,Role-Playing,Sony Computer Entertainment,0.01,0.1,0.22,0.05,0.38
492,Final Fantasy 416,XB,2008,Misc,Activision,0.02,0.13,0.16,0.07,0.38
493,Super Quest 267,X360,2001,Fighting,Electronic Arts,0.06,0.1,0.09,0.11,0.36
494,Grand Fantasy 372,3DS,1980,Sports,Electronic Arts,0.18,0.04,0.0,0.14,0.36
495,The Legend of Adventure 13,XOne,2004,Action,Electronic Arts,0.01,0.18,0.09,0.07,0.35
496,Call of Legacy 374,Wii,2000,Misc,Sony Computer Entertainment,0.09,0.04,0.01,0.15,0.29
497,Super Fantasy 144,Wii,1994,Fighting,Capcom,0.09,0.05,0.09,0.05,0.28
498,World of Fantasy 60,PS3,2005,Role-Playing,Ubisoft,0.06,0.0,0.2,0.02,0.28
499,World of Fantasy 323,DS,2003,Misc,Nintendo,0.11,0.01,0.02,0.13,0.27
500,Super Warfare 90,Wii,1983,Racing,Nintendo,0.03,0.01,0.04,0.11,0.19
